Sample Label,Zircon number,Stratigraphic position,Stratigraphic level,Method,Age,Error 2s
SEL-02,A1_SEL02_61,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,12.7,0.4
SEL-02,A1_SEL02_57,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,12.9,0.4
SEL-02,A1_SEL02_46,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.1,0.5
SEL-02,A1_SEL02_6,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.2,0.4
SEL-02,A1_SEL02_5,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.2,0.5
SEL-02,A1_SEL02_38,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.3,0.4
SEL-02,A1_SEL02_31,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.3,0.4
SEL-02,A1_SEL02_7,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.4,0.5
SEL-02,A1_SEL02_40,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.4,0.5
SEL-02,A1_SEL02_14,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.4,0.5
SEL-02,A1_SEL02_11,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.4,0.4
SEL-02,A1_SEL02_26,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.4,0.4
SEL-02,A1_SEL02_17,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.4,0.5
SEL-02,A1_SEL02_48,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.5,0.5
SEL-02,A1_SEL02_15,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.5,0.5
SEL-02,A1_SEL02_62,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.5,0.5
SEL-02,A1_SEL02_1,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.5,0.5
SEL-02,A1_SEL02_18,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.6,0.4
SEL-02,A1_SEL02_56,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.6,0.4
SEL-02,A1_SEL02_12,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.6,0.4
SEL-02,A1_SEL02_27,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.6,0.4
SEL-02,A1_SEL02_24,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,13.7,0.5
SEL-02,A1_SEL02_53,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,14.3,0.5
SEL-02,A1_SEL02_20,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,15.2,0.8
SEL-02,A1_SEL02_28,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,20.1,0.9
SEL-02,A1_SEL02_19,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,22.6,0.7
SEL-02,A1_SEL02_22,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,35.0,1.1
SEL-02,A1_SEL02_33,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,36.1,1.2
SEL-02,A1_SEL02_2,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,37.2,1.1
SEL-02,A1_SEL02_49,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,38.6,1.2
SEL-02,A1_SEL02_55,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,39.6,1.1
SEL-02,A1_SEL02_58,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,42.1,1.3
SEL-02,A1_SEL02_52,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,45.8,1.5
SEL-02,A1_SEL02_36,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,46.0,1.4
SEL-02,A1_SEL02_32,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,50.5,1.5
SEL-02,A1_SEL02_9,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,86.8,2.5
SEL-02,A1_SEL02_39,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,193.2,5.8
SEL-02,A1_SEL02_42,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,229.2,6.5
SEL-02,A1_SEL02_35,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,229.3,6.0
SEL-02,A1_SEL02_51,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,229.5,5.9
SEL-02,A1_SEL02_30,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,230.0,6.9
SEL-02,A1_SEL02_41,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,231.1,6.4
SEL-02,A1_SEL02_29,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,235.1,7.2
SEL-02,A1_SEL02_44,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,235.8,7.2
SEL-02,A1_SEL02_47,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,237.9,7.3
SEL-02,A1_SEL02_25,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,240.5,7.2
SEL-02,A1_SEL02_10,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,545.2,15.0
SEL-02,A1_SEL02_50,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,895.0,24.0
SEL-02,A1_SEL02_34,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,1020.0,23.0
SEL-02,A1_SEL02_4,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,1550.2,13.0
SEL-02,A1_SEL02_45,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,1565.0,16.0
SEL-02,A1_SEL02_21,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,1710.0,17.0
SEL-02,A1_SEL02_59,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,1901.0,14.0
SEL-02,A1_SEL02_60,503.0,StL 7_Bed set below Cerbatana Conglomerate,Zr-U-Pb,2656.0,19.0
UR-01,UR-eAC1-52,154.0,StL 1_Bed set below Cerro Gordo,Zr-U-Pb,13.4,0.4
UR-01,UR-eAC1-53,154.0,StL 1_Bed set below Cerro Gordo,Zr-U-Pb,13.5,0.4
UR-01,UR-eAC1-73,154.0,StL 1_Bed set below Cerro Gordo,Zr-U-Pb,13.5,0.4
UR-01,UR-eAC1-58,154.0,StL 1_Bed set below Cerro Gordo,Zr-U-Pb,13.6,0.4
UR-01,UR-eAC1-49,154.0,StL 1_Bed set below Cerro Gordo,Zr-U-Pb,13.6,0.4
UR-01,UR-eAC1-34,154.0,StL 1_Bed set below Cerro Gordo,Zr-U-Pb,13.7,0.4
UR-01,UR-eAC1-30,154.0,StL 1_Bed set below Cerro Gordo,Zr-U-Pb,13.7,0.4
UR-01,UR-eAC1-25,154.0,StL 1_Bed set below Cerro Gordo,Zr-U-Pb,13.8,0.4
UR-01,UR-eAC1-62,154.0,StL 1_Bed set below Cerro Gordo,Zr-U-Pb,13.9,0.4
UR-01,UR-eAC1-66,154.0,StL 1_Bed set below Cerro Gordo,Zr-U-Pb,14.1,0.5
UR-01,UR-eAC1-79,154.0,StL 1_Bed set below Cerro Gordo,Zr-U-Pb,14.2,0.4
UR-01,UR-eAC1-8,154.0,StL 1_Bed set below Cerro Gordo,Zr-U-Pb,18.6,0.6
UR-01,UR-eAC1-64,154.0,StL 1_Bed set below Cerro Gordo,Zr-U-Pb,22.1,0.7
UR-01,UR-eAC1-65,154.0,StL 1_Bed set below Cerro Gordo,Zr-U-Pb,24.0,0.7
UR-01,UR-eAC1-13,154.0,StL 1_Bed set below Cerro Gordo,Zr-U-Pb,24.2,0.7
